Sample_Name	seqs	align.perc	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
RS102054	32290606	100	986582346	984949160		20147460	51609019	357237818	555954863	0	0	0	394351	365016	260121	0.519315	0.480685		0.020455	0.052398	0.362697	0.56445	0.072853	0.072732	0	1.817719	3.734507	0.047425	5.844203
RS102056	90424662	100	2834761737	2830053210		69954515	226916235	883811660	1649370800	0	0	0	1579517	1306303	1369409	0.547337	0.452663		0.024718	0.080181	0.312295	0.582806	0.104899	0.104725	0	1.736314	3.331918	0.021581	4.582766
RS102062	79366445	100	2445920461	2441449441		45032666	88566247	965530097	1342320431	0	0	0	770695	729364	375035	0.513776	0.486224		0.018445	0.036276	0.395474	0.549805	0.054721	0.054621	0	1.56844	3.320262	0.10337	21.43617
RS102071	54296550	100	1736006106	1733204463		51763662	166701351	617537653	897201797	0	0	0	1185186	930335	999415	0.560234	0.439766		0.029866	0.096181	0.356298	0.517655	0.126047	0.125843	0	1.670812	3.318101	0.021959	13.034884
RS102073	32530202	100	1009218340	1007486868		23142825	62093407	372375456	549875180	0	0	0	467910	407692	331451	0.534387	0.465613		0.022971	0.061632	0.369608	0.545789	0.084603	0.084458	0	1.728217	3.373536	0.04031	7.239583
RS102078	35020420	100	1065406941	1063621719		18062134	53001614	329005508	663552463	0	0	0	379713	348700	290758	0.521288	0.478712		0.016982	0.049831	0.309326	0.623861	0.066813	0.066701	0	1.935216	3.862557	0.02982	1.93409
RS102097	27412562	100	836929696	835432723		17996550	44799917	294333509	478302747	0	0	0	348178	309096	228976	0.52973	0.47027		0.021542	0.053625	0.352313	0.572521	0.075166	0.075032	0	1.686743	3.394193	0.050445	2.475836
RS102104	69861368	100	2179085128	2175416716		46600181	137883412	741720802	1249212321	0	0	0	1011594	854602	759995	0.542062	0.457938		0.021421	0.063383	0.340956	0.57424	0.084804	0.084661	0	1.676774	3.352705	0.042959	10.286697
RS102111	98273891	100	3080697324	3075349575		68777213	210946635	1060440197	1735185530	0	0	0	1528686	1266538	1182792	0.546892	0.453108		0.022364	0.068593	0.344819	0.564224	0.090957	0.090799	0	1.642594	3.245017	0.036143	27.984848
RS102124	32225859	100	1006987298	1005503611		22005920	73180928	320307894	590008869	0	0	0	505988	439093	421631	0.535391	0.464609		0.021885	0.07278	0.318555	0.586779	0.094666	0.094526	0	1.891288	3.772069	0.018738	0.502392
