##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252_S9_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70916612
Sequences flagged as poor quality	0
Sequence length	50
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.80903331930183	37.0	37.0	37.0	37.0	37.0
2	35.8549718929043	37.0	37.0	37.0	37.0	37.0
3	36.09072579496606	37.0	37.0	37.0	37.0	37.0
4	36.158180991500274	37.0	37.0	37.0	37.0	37.0
5	36.212637061680276	37.0	37.0	37.0	37.0	37.0
6	36.34269101857263	37.0	37.0	37.0	37.0	37.0
7	36.33719711539519	37.0	37.0	37.0	37.0	37.0
8	36.3274434768542	37.0	37.0	37.0	37.0	37.0
9	36.42440876899195	37.0	37.0	37.0	37.0	37.0
10	36.28970095187288	37.0	37.0	37.0	37.0	37.0
11	36.43169546791096	37.0	37.0	37.0	37.0	37.0
12	36.314126907247065	37.0	37.0	37.0	37.0	37.0
13	36.41415671408555	37.0	37.0	37.0	37.0	37.0
14	36.33997120449014	37.0	37.0	37.0	37.0	37.0
15	36.35447172800641	37.0	37.0	37.0	37.0	37.0
16	36.33624620984432	37.0	37.0	37.0	37.0	37.0
17	36.31859609988137	37.0	37.0	37.0	37.0	37.0
18	36.28498434189157	37.0	37.0	37.0	37.0	37.0
19	36.31917465261877	37.0	37.0	37.0	37.0	37.0
20	36.293762059586264	37.0	37.0	37.0	37.0	37.0
21	36.31091809631289	37.0	37.0	37.0	37.0	37.0
22	36.29029195585373	37.0	37.0	37.0	37.0	37.0
23	36.28726908160813	37.0	37.0	37.0	37.0	37.0
24	36.27049687596469	37.0	37.0	37.0	37.0	37.0
25	36.263467493342745	37.0	37.0	37.0	37.0	37.0
26	36.20919611895729	37.0	37.0	37.0	37.0	37.0
27	36.19911410883532	37.0	37.0	37.0	37.0	37.0
28	36.18510825080025	37.0	37.0	37.0	37.0	37.0
29	36.17753032251456	37.0	37.0	37.0	37.0	37.0
30	36.167408180751785	37.0	37.0	37.0	37.0	37.0
31	36.16606448993925	37.0	37.0	37.0	37.0	37.0
32	36.13731559821273	37.0	37.0	37.0	37.0	37.0
33	36.13415051469182	37.0	37.0	37.0	37.0	37.0
34	36.135771770935705	37.0	37.0	37.0	37.0	37.0
35	36.13343237547784	37.0	37.0	37.0	37.0	37.0
36	36.13086313260425	37.0	37.0	37.0	37.0	37.0
37	36.141526755395475	37.0	37.0	37.0	37.0	37.0
38	36.137185318441325	37.0	37.0	37.0	37.0	37.0
39	36.105258779141906	37.0	37.0	37.0	37.0	37.0
40	36.09621511529626	37.0	37.0	37.0	37.0	37.0
41	36.085712385696034	37.0	37.0	37.0	37.0	37.0
42	36.0610877039642	37.0	37.0	37.0	37.0	37.0
43	36.052137628909854	37.0	37.0	37.0	37.0	37.0
44	36.035315406776625	37.0	37.0	37.0	37.0	37.0
45	36.0495900029742	37.0	37.0	37.0	37.0	37.0
46	36.032459841708175	37.0	37.0	37.0	37.0	37.0
47	36.010196115967865	37.0	37.0	37.0	37.0	37.0
48	35.98323270152838	37.0	37.0	37.0	37.0	37.0
49	36.001212945705866	37.0	37.0	37.0	37.0	37.0
50	35.4503324552504	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2101	1	0.14259792568714147
2101	2	0.0015483815190293626
2101	3	0.028984852664230232
2101	4	0.06373893907915118
2101	5	0.03705708498787175
2101	6	0.05750814568327911
2101	7	0.038915608704435556
2101	8	0.027248611137203227
2101	9	-0.006418103855352797
2101	10	0.010557155404384844
2101	11	0.019344151419034006
2101	12	0.046733468771478215
2101	13	0.0259551794224393
2101	14	0.0714045035759554
2101	15	0.0550594126863686
2101	16	0.04519135614845027
2101	17	-0.0026155596323178543
2101	18	0.0445145816533028
2101	19	0.07159284682511924
2101	20	0.04588297005582831
2101	21	0.035118798171922094
2101	22	0.02647841214965041
2101	23	0.04677841466136101
2101	24	0.059134247039331456
2101	25	0.019379996066660965
2101	26	0.058117384713675335
2101	27	0.04993208898795842
2101	28	0.08323385975705833
2101	29	0.03435956356845793
2101	30	0.03566203640922794
2101	31	0.01486699439770689
2101	32	0.08188160882144757
2101	33	0.019345792609243517
2101	34	0.05471265565778083
2101	35	0.038164475480854776
2101	36	0.03940682012684249
2101	37	0.055514678330304434
2101	38	0.008820665681305684
2101	39	0.06334261318493617
2101	40	0.05490798448265366
2101	41	0.07401845776305294
2101	42	0.0669261456226593
2101	43	0.04682495077121018
2101	44	0.05245014933435499
2101	45	0.0083496086509669
2101	46	0.0584017841199298
2101	47	0.028992195826880618
2101	48	0.0188619281311162
2101	49	0.025615320933908947
2101	50	0.02427573612919076
2102	1	0.034406401604357484
2102	2	0.03565704007228021
2102	3	0.04791441783466155
2102	4	0.03198615697081664
2102	5	0.03275629267977109
2102	6	0.0063229886307496486
2102	7	0.061351230904882925
2102	8	0.03464317195346922
2102	9	0.028941732507014706
2102	10	0.02055588058186686
2102	11	0.014867407044256709
2102	12	0.03814494223318121
2102	13	0.03233718589275014
2102	14	0.057719195285805824
2102	15	0.042615580864968194
2102	16	-0.001693414355464995
2102	17	0.013693832120935667
2102	18	-0.005280480298054613
2102	19	0.016834645540676263
2102	20	0.017677226685272274
2102	21	0.027286349099163942
2102	22	0.035835078276285515
2102	23	0.03843393400841677
2102	24	0.0414942223927639
2102	25	0.044979103631874295
2102	26	0.045876137535920236
2102	27	0.015514352370423978
2102	28	0.04974571811483486
2102	29	0.025029161146534307
2102	30	0.0284753719971107
2102	31	0.029980686729331296
2102	32	0.025167204182750424
2102	33	0.024902926938061398
2102	34	-0.007995111641072583
2102	35	-0.0017344815549691361
2102	36	0.002585548768770707
2102	37	0.01679696092363514
2102	38	-0.005245798312188299
2102	39	0.016733095159331413
2102	40	0.034522148528118635
2102	41	0.05523275277292328
2102	42	0.0171341084238108
2102	43	0.02648087115618125
2102	44	0.06491227721971171
2102	45	0.012055852654945909
2102	46	0.051372296176587895
2102	47	0.028469282515104055
2102	48	0.026720493359682962
2102	49	-0.0015872374460244032
2102	50	0.05029078405159737
2103	1	0.04641156273939373
2103	2	0.0033176942820389854
2103	3	0.0016293789313763796
2103	4	0.03033225279378371
2103	5	0.027050888941552387
2103	6	0.038491409585539316
2103	7	0.028332649999306625
2103	8	-6.790116891153275E-5
2103	9	-0.005742983333043128
2103	10	0.013133461958140913
2103	11	0.023374204624062145
2103	12	0.009261641577374746
2103	13	0.03753562473441008
2103	14	0.033534156645480095
2103	15	0.039574708792393665
2103	16	0.032444770087664665
2103	17	0.045526335322179534
2103	18	-0.0028027122987666075
2103	19	0.0029482716012907417
2103	20	0.022584695807047694
2103	21	0.018575787100139962
