group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
DMP/R,147,H,,4383,43,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,4,0.0380952380952381,0.018748258580902524,0.42855218286392727,0.4044412615049768,"c(""ITPR2"", ""RPTOR"", ""GSK3B"", ""ECSIT"")"
DMP/R,147,H,,4383,43,HALLMARK_HEME_METABOLISM,200,5,0.025,0.04433298443419938,0.42855218286392727,0.4044412615049768,"c(""TRAK2"", ""FN3K"", ""GCLM"", ""YPEL5"", ""DCAF11"")"
DMP/R,147,H,,4383,43,HALLMARK_MYOGENESIS,200,5,0.025,0.04433298443419938,0.42855218286392727,0.4044412615049768,"c(""KCNH1"", ""EFS"", ""ADCY9"", ""ABLIM1"", ""SPEG"")"
DMP/R,147,H,,4383,43,HALLMARK_APICAL_JUNCTION,200,4,0.02,0.13079258545025796,0.8671081365254955,0.8183234682273279,"c(""CDH4"", ""NFASC"", ""PCDH1"", ""SPEG"")"
DMP/R,147,H,,4383,43,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,2,0.02702702702702703,0.1635409883094268,0.8671081365254955,0.8183234682273279,"c(""ATXN2"", ""ACSS2"")"
DMP/R,147,H,,4383,43,HALLMARK_BILE_ACID_METABOLISM,112,2,0.017857142857142856,0.30111228098068776,0.8671081365254955,0.8183234682273279,"c(""GCLM"", ""SLC29A1"")"
DMP/R,147,H,,4383,43,HALLMARK_E2F_TARGETS,200,3,0.015,0.3126649644403829,0.8671081365254955,0.8183234682273279,"c(""CIT"", ""RFC2"", ""MCM2"")"
DMP/R,147,H,,4383,43,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,3,0.015,0.3126649644403829,0.8671081365254955,0.8183234682273279,"c(""MREG"", ""ADCY9"", ""ABLIM1"")"
DMP/R,147,H,,4383,43,HALLMARK_WNT_BETA_CATENIN_SIGNALING,42,1,0.023809523809523808,0.34034599590375747,0.8671081365254955,0.8183234682273279,AXIN1
DMP/R,147,H,,4383,43,HALLMARK_SPERMATOGENESIS,135,2,0.014814814814814815,0.3841052362671652,0.8671081365254955,0.8183234682273279,"c(""CHFR"", ""ZNRF4"")"
DMP/R,147,H,,4383,43,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,1,0.02040816326530612,0.3847784495350255,0.8671081365254955,0.8183234682273279,GCLM
DMP/R,147,H,,4383,43,HALLMARK_COAGULATION,138,2,0.014492753623188406,0.39467346241465373,0.8671081365254955,0.8183234682273279,"c(""SERPING1"", ""APOC3"")"
DMP/R,147,H,,4383,43,HALLMARK_DNA_REPAIR,150,2,0.013333333333333334,0.43613458422109475,0.8671081365254955,0.8183234682273279,"c(""RFC2"", ""NT5C"")"
DMP/R,147,H,,4383,43,HALLMARK_APOPTOSIS,161,2,0.012422360248447204,0.47284294023863116,0.8671081365254955,0.8183234682273279,"c(""CFLAR"", ""MADD"")"
DMP/R,147,H,,4383,43,HALLMARK_MITOTIC_SPINDLE,199,2,0.010050251256281407,0.5883346959609033,0.8671081365254955,0.8183234682273279,"c(""TBCD"", ""DYNC1H1"")"
DMP/R,147,H,,4383,43,HALLMARK_ESTROGEN_RESPONSE_LATE,200,2,0.01,0.5911192387035346,0.8671081365254955,0.8183234682273279,"c(""MOCS2"", ""SLC29A1"")"
DMP/R,147,H,,4383,43,HALLMARK_G2M_CHECKPOINT,200,2,0.01,0.5911192387035346,0.8671081365254955,0.8183234682273279,"c(""DTYMK"", ""MCM2"")"
DMP/R,147,H,,4383,43,HALLMARK_MTORC1_SIGNALING,200,2,0.01,0.5911192387035346,0.8671081365254955,0.8183234682273279,"c(""GSK3B"", ""MCM2"")"
DMP/R,147,H,,4383,43,HALLMARK_MYC_TARGETS_V1,200,2,0.01,0.5911192387035346,0.8671081365254955,0.8183234682273279,"c(""YWHAQ"", ""MCM2"")"
DMP/R,147,H,,4383,43,HALLMARK_ANDROGEN_RESPONSE,100,1,0.01,0.6311148862455074,0.8671081365254955,0.8183234682273279,ALDH1A3
DMP/R,147,H,,4383,43,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,1,0.008849557522123894,0.6765240997524997,0.8671081365254955,0.8183234682273279,EXOSC10
